flight_id,crew_id,assignment_role
F000001,C072,Captain
F000001,C075,First Officer
F000001,C048,Cabin Crew
F000001,C059,Cabin Crew
F000001,C035,Cabin Crew
F000002,C018,Captain
F000002,C033,First Officer
F000002,C064,Cabin Crew
F000002,C005,Cabin Crew
F000002,C056,Cabin Crew
F000003,C020,Captain
F000003,C074,First Officer
F000003,C048,Cabin Crew
F000003,C032,Cabin Crew
F000003,C063,Cabin Crew
F000004,C051,Captain
F000004,C058,First Officer
F000004,C041,Cabin Crew
F000004,C066,Cabin Crew
F000004,C062,Cabin Crew
F000005,C040,Captain
F000005,C015,First Officer
F000005,C079,Cabin Crew
F000005,C057,Cabin Crew
F000005,C036,Cabin Crew
F000006,C040,Captain
F000006,C042,First Officer
F000006,C068,Cabin Crew
F000006,C010,Cabin Crew
F000006,C003,Cabin Crew
F000007,C038,Captain
F000007,C060,First Officer
F000007,C036,Cabin Crew
F000007,C077,Cabin Crew
F000007,C041,Cabin Crew
F000008,C012,Captain
F000008,C058,First Officer
F000008,C034,Cabin Crew
F000008,C077,Cabin Crew
F000008,C063,Cabin Crew
F000009,C002,Captain
F000009,C067,First Officer
F000009,C063,Cabin Crew
F000009,C043,Cabin Crew
F000009,C064,Cabin Crew
F000010,C055,Captain
F000010,C067,First Officer
F000010,C057,Cabin Crew
F000010,C005,Cabin Crew
F000010,C050,Cabin Crew
F000011,C061,Captain
F000011,C067,First Officer
F000011,C048,Cabin Crew
F000011,C053,Cabin Crew
F000011,C019,Cabin Crew
F000012,C040,Captain
F000012,C070,First Officer
F000012,C021,Cabin Crew
F000012,C037,Cabin Crew
F000012,C006,Cabin Crew
F000013,C038,Captain
F000013,C024,First Officer
F000013,C079,Cabin Crew
F000013,C050,Cabin Crew
F000013,C066,Cabin Crew
F000014,C030,Captain
F000014,C013,First Officer
F000014,C077,Cabin Crew
F000014,C050,Cabin Crew
F000014,C079,Cabin Crew
F000015,C004,Captain
F000015,C060,First Officer
F000015,C019,Cabin Crew
F000015,C032,Cabin Crew
F000015,C079,Cabin Crew
F000016,C072,Captain
F000016,C033,First Officer
F000016,C048,Cabin Crew
F000016,C037,Cabin Crew
F000016,C045,Cabin Crew
F000017,C061,Captain
F000017,C015,First Officer
F000017,C062,Cabin Crew
F000017,C021,Cabin Crew
F000017,C078,Cabin Crew
F000018,C011,Captain
F000018,C042,First Officer
F000018,C077,Cabin Crew
F000018,C056,Cabin Crew
F000018,C045,Cabin Crew
F000019,C020,Captain
F000019,C070,First Officer
F000019,C031,Cabin Crew
F000019,C063,Cabin Crew
F000019,C078,Cabin Crew
F000020,C030,Captain
F000020,C025,First Officer
F000020,C041,Cabin Crew
F000020,C068,Cabin Crew
F000020,C005,Cabin Crew
F000021,C061,Captain
F000021,C033,First Officer
F000021,C050,Cabin Crew
F000021,C065,Cabin Crew
F000021,C001,Cabin Crew
F000022,C051,Captain
F000022,C022,First Officer
F000022,C056,Cabin Crew
F000022,C032,Cabin Crew
F000022,C001,Cabin Crew
