flight_id,flight_number,aircraft_id,departure_airport_id,arrival_airport_id,scheduled_departure,scheduled_arrival,actual_departure,actual_arrival,delay_minutes,flight_status
F000001,SKY153,AC019,AID013,AID004,2023-01-01 23:46:00,2023-01-02 05:46:00,2023-01-01 23:46:00,2023-01-02 05:46:00,0,On-Time
F000002,SKY140,AC008,AID008,AID001,2023-01-02 08:15:00,2023-01-02 11:15:00,2023-01-02 08:15:00,2023-01-02 11:15:00,0,On-Time
F000003,SKY157,AC013,AID015,AID003,2023-01-03 09:41:00,2023-01-03 17:41:00,2023-01-03 09:41:00,2023-01-03 17:41:00,0,On-Time
F000004,SKY112,AC015,AID002,AID005,2023-01-04 16:55:00,2023-01-05 05:55:00,2023-01-04 16:55:00,2023-01-05 05:55:00,0,On-Time
F000005,SKY117,AC016,AID009,AID007,2023-01-05 21:27:00,2023-01-06 08:27:00,2023-01-05 21:27:00,2023-01-06 08:27:00,0,On-Time
F000006,SKY102,AC013,AID001,AID003,2023-01-06 07:27:00,2023-01-06 17:27:00,2023-01-06 07:27:00,2023-01-06 17:27:00,0,On-Time
F000007,SKY105,AC001,AID001,AID005,2023-01-07 12:29:00,2023-01-07 17:29:00,2023-01-07 12:29:00,2023-01-07 17:29:00,0,On-Time
F000008,SKY136,AC009,AID005,AID002,2023-01-08 21:11:00,2023-01-09 08:11:00,2023-01-08 21:11:00,2023-01-09 08:11:00,0,On-Time
F000009,SKY136,AC015,AID005,AID002,2023-01-09 22:01:00,2023-01-10 09:01:00,2023-01-09 22:01:00,2023-01-10 09:01:00,0,On-Time
F000010,SKY157,AC015,AID015,AID003,2023-01-10 23:34:00,2023-01-11 06:34:00,2023-01-10 23:34:00,2023-01-11 06:34:00,0,On-Time
F000011,SKY102,AC012,AID001,AID003,2023-01-11 18:30:00,2023-01-12 04:30:00,2023-01-11 18:30:00,2023-01-12 04:30:00,0,On-Time
F000012,SKY126,AC017,AID004,AID015,2023-01-12 04:46:00,2023-01-12 10:46:00,2023-01-12 04:46:00,2023-01-12 10:46:00,0,On-Time
F000013,SKY124,AC005,AID004,AID007,2023-01-13 19:22:00,2023-01-14 02:22:00,2023-01-13 19:22:00,2023-01-14 02:22:00,0,On-Time
F000014,SKY136,AC012,AID005,AID002,2023-01-14 19:03:00,2023-01-15 06:03:00,2023-01-14 19:25:00,2023-01-15 06:25:00,22,Delayed
F000015,SKY138,AC008,AID005,AID011,2023-01-15 10:16:00,2023-01-15 13:16:00,2023-01-15 10:16:00,2023-01-15 13:16:00,0,On-Time
F000016,SKY137,AC002,AID005,AID003,2023-01-16 13:08:00,2023-01-16 21:08:00,2023-01-16 13:08:00,2023-01-16 21:08:00,0,On-Time
F000017,SKY154,AC005,AID013,AID006,2023-01-17 09:45:00,2023-01-17 13:45:00,2023-01-17 09:45:00,2023-01-17 13:45:00,0,On-Time
F000018,SKY119,AC010,AID003,AID015,2023-01-18 16:11:00,2023-01-18 23:11:00,2023-01-18 16:11:00,2023-01-18 23:11:00,0,On-Time
F000019,SKY158,AC006,AID015,AID004,2023-01-19 08:32:00,2023-01-19 12:32:00,2023-01-19 08:32:00,2023-01-19 12:32:00,0,On-Time
F000020,SKY114,AC012,AID009,AID002,2023-01-20 15:00:00,2023-01-20 23:00:00,2023-01-20 15:22:00,2023-01-20 23:22:00,22,Delayed
F000021,SKY100,AC013,AID001,AID002,2023-01-21 05:52:00,2023-01-21 19:52:00,2023-01-21 05:52:00,2023-01-21 19:52:00,0,On-Time
F000022,SKY142,AC002,AID008,AID011,2023-01-22 15:54:00,2023-01-22 17:54:00,2023-01-22 15:54:00,2023-01-22 17:54:00,0,On-Time
F000023,SKY134,AC015,AID007,AID013,2023-01-23 17:19:00,2023-01-23 21:19:00,2023-01-23 17:19:00,2023-01-23 21:19:00,0,On-Time
F000024,SKY104,AC018,AID001,AID006,2023-01-24 18:21:00,2023-01-25 07:21:00,2023-01-24 18:35:00,2023-01-25 07:35:00,14,Delayed
F000025,SKY145,AC017,AID011,AID005,2023-01-25 00:46:00,2023-01-25 02:46:00,2023-01-25 00:46:00,2023-01-25 02:46:00,0,On-Time
F000026,SKY111,AC018,AID002,AID008,2023-01-26 03:55:00,2023-01-26 12:55:00,2023-01-26 03:55:00,2023-01-26 12:55:00,0,On-Time
