maintenance_id|aircraft_id|engineer_id|maintenance_type|maintenance_date|cost|downtime_hours
M000001|AC001|E012|Routine|2023-01-27|10454|12
M000002|AC001|E015|Routine|2023-03-06|9178|7
M000003|AC001|E015|Routine|2023-04-14|11355|8
M000004|AC001|E012|Engine Check|2023-05-29|26380|52
M000005|AC001|E013|Engine Check|2023-08-08|44653|41
M000006|AC001|E007|Routine|2023-10-17|5707|10
M000007|AC001|E005|Routine|2023-11-23|13247|6
M000008|AC001|E004|Routine|2023-12-18|14451|8
M000009|AC001|E004|Routine|2024-01-17|14409|11
M000010|AC001|E014|Engine Check|2024-02-25|34525|42
M000011|AC001|E009|Routine|2024-05-18|13056|9
M000012|AC001|E008|Routine|2024-06-13|10521|8
M000013|AC001|E003|Routine|2024-07-11|9215|12
M000014|AC001|E003|Heavy Maintenance|2024-08-06|126329|225
M000015|AC002|E012|Engine Check|2023-01-01|39633|27
M000016|AC002|E004|Routine|2023-03-11|14916|10
M000017|AC002|E005|Routine|2023-04-12|14662|6
M000018|AC002|E010|Routine|2023-05-20|7344|8
M000019|AC002|E013|Heavy Maintenance|2023-07-02|117134|232
M000020|AC002|E012|Engine Check|2023-12-22|49992|34
M000021|AC002|E006|Engine Check|2024-02-23|31519|54
M000022|AC002|E015|Heavy Maintenance|2024-04-18|146613|121
M000023|AC002|E003|Heavy Maintenance|2024-11-03|131201|143
M000024|AC003|E001|Engine Check|2023-01-24|36307|39
M000025|AC003|E014|Engine Check|2023-03-30|37607|43
M000026|AC003|E002|Routine|2023-05-26|13961|10
M000027|AC003|E015|Engine Check|2023-06-30|47004|28
M000028|AC003|E001|Engine Check|2023-09-15|43958|29
M000029|AC003|E015|Engine Check|2023-12-04|23186|32
M000030|AC003|E003|Engine Check|2024-02-22|40292|44
M000031|AC003|E013|Routine|2024-05-01|7696|8
M000032|AC003|E003|Heavy Maintenance|2024-06-09|80532|173
M000033|AC003|E006|Engine Check|2024-12-03|24728|32
M000034|AC004|E013|Heavy Maintenance|2023-01-31|131817|172
M000035|AC004|E012|Routine|2023-08-13|13412|7
M000036|AC004|E013|Routine|2023-09-25|8713|9
M000037|AC004|E013|Heavy Maintenance|2023-11-06|93259|298
M000038|AC004|E004|Engine Check|2024-05-30|25837|49
M000039|AC004|E001|Engine Check|2024-07-28|27113|54
M000040|AC004|E002|Routine|2024-10-04|12062|12
M000041|AC004|E015|Heavy Maintenance|2024-11-03|133550|270
M000042|AC005|E013|Routine|2023-01-22|7524|7
M000043|AC005|E009|Routine|2023-03-02|10061|12
M000044|AC005|E012|Engine Check|2023-03-29|27630|62
M000045|AC005|E012|Engine Check|2023-06-05|28788|69
M000046|AC005|E010|Engine Check|2023-08-23|37354|53
M000047|AC005|E013|Heavy Maintenance|2023-10-17|119249|134
M000048|AC005|E013|Heavy Maintenance|2024-04-05|121065|296
M000049|AC005|E007|Routine|2024-10-14|5070|11
M000050|AC005|E014|Engine Check|2024-11-09|33843|39
M000051|AC006|E003|Engine Check|2023-01-07|40619|68
M000052|AC006|E001|Routine|2023-03-13|14251|10
M000053|AC006|E006|Routine|2023-04-16|10957|7
M000054|AC006|E013|Heavy Maintenance|2023-05-26|141663|237
M000055|AC006|E011|Routine|2023-11-12|7360|10
M000056|AC006|E015|Heavy Maintenance|2023-12-09|110301|243
M000057|AC006|E003|Heavy Maintenance|2024-05-26|83111|176
M000058|AC006|E003|Engine Check|2024-11-23|21693|62
M000059|AC007|E010|Engine Check|2023-01-22|20211|47
M000060|AC007|E005|Routine|2023-04-11|13262|7
M000061|AC007|E012|Routine|2023-05-21|14330|12
M000062|AC007|E013|Routine|2023-06-21|13756|10
M000063|AC007|E015|Heavy Maintenance|2023-07-23|123781|248
M000064|AC007|E014|Engine Check|2024-01-10|23863|47
M000065|AC007|E008|Routine|2024-03-31|11101|8
M000066|AC007|E006|Engine Check|2024-05-14|29370|51
M000067|AC007|E015|Heavy Maintenance|2024-07-20|107052|264
M000068|AC008|E009|Routine|2023-01-19|9741|10
M000069|AC008|E012|Engine Check|2023-02-28|46241|36
M000070|AC008|E011|Routine|2023-05-15|9375|6
M000071|AC008|E015|Heavy Maintenance|2023-06-28|124768|182
M000072|AC008|E012|Engine Check|2023-12-07|29766|39
M000073|AC008|E003|Routine|2024-02-21|9471|7
M000074|AC008|E010|Engine Check|2024-03-25|26027|52
M000075|AC008|E008|Routine|2024-05-26|10465|10
M000076|AC008|E015|Heavy Maintenance|2024-06-28|131655|253
M000077|AC008|E015|Heavy Maintenance|2024-11-28|145014|123
M000078|AC009|E006|Engine Check|2023-01-30|39444|24
M000079|AC009|E006|Engine Check|2023-03-29|20418|24
M000080|AC009|E011|Routine|2023-06-02|14365|10
M000081|AC009|E013|Routine|2023-07-14|11772|12
M000082|AC009|E003|Heavy Maintenance|2023-08-21|119344|263
M000083|AC009|E006|Routine|2024-03-07|7049|7
M000084|AC009|E013|Heavy Maintenance|2024-04-06|129984|214
M000085|AC009|E005|Routine|2024-10-08|6476|12
M000086|AC009|E003|Heavy Maintenance|2024-11-09|85572|274
M000087|AC010|E015|Engine Check|2023-01-12|37367|26
M000088|AC010|E001|Routine|2023-04-05|11702|11
M000089|AC010|E015|Heavy Maintenance|2023-05-15|123625|152
M000090|AC010|E005|Routine|2023-11-12|8225|12
M000091|AC010|E003|Engine Check|2023-12-21|49221|61
M000092|AC010|E013|Engine Check|2024-03-11|43651|52
M000093|AC010|E004|Engine Check|2024-05-20|27864|58
M000094|AC010|E013|Routine|2024-08-10|10854|10
M000095|AC010|E002|Routine|2024-09-24|6467|6
M000096|AC010|E006|Engine Check|2024-10-27|31180|53
M000097|AC010|E006|Engine Check|2024-12-28|35398|68
M000098|AC011|E015|Heavy Maintenance|2023-01-10|100549|171
M000099|AC011|E010|Engine Check|2023-07-17|43936|51
M000100|AC011|E013|Engine Check|2023-09-10|45056|53
M000101|AC011|E015|Engine Check|2023-11-18|35370|49
M000102|AC011|E012|Routine|2024-02-09|5006|9
M000103|AC011|E004|Routine|2024-03-23|13489|12
M000104|AC011|E002|Routine|2024-05-03|11714|6
M000105|AC011|E006|Engine Check|2024-05-29|32987|30
M000106|AC011|E011|Routine|2024-08-12|11642|9
M000107|AC011|E007|Routine|2024-09-22|10333|10
M000108|AC011|E008|Routine|2024-11-01|14221|10
M000109|AC011|E010|Engine Check|2024-12-15|34592|47
M000110|AC012|E013|Heavy Maintenance|2023-01-11|108700|135
M000111|AC012|E004|Engine Check|2023-06-26|32211|63
M000112|AC012|E003|Routine|2023-08-31|14340|7
M000113|AC012|E010|Engine Check|2023-09-25|27660|51
M000114|AC012|E006|Engine Check|2023-11-27|49685|64
M000115|AC012|E013|Routine|2024-02-13|11516|6
M000116|AC012|E013|Heavy Maintenance|2024-03-29|104481|177
M000117|AC012|E001|Engine Check|2024-09-06|46594|72
M000118|AC012|E010|Engine Check|2024-11-12|20843|24
M000119|AC013|E004|Engine Check|2023-01-06|26511|60
M000120|AC013|E013|Heavy Maintenance|2023-03-24|96674|183
M000121|AC013|E001|Engine Check|2023-10-15|33102|61
M000122|AC013|E015|Engine Check|2023-12-30|23691|50
M000123|AC013|E007|Routine|2024-02-28|7067|9
M000124|AC013|E005|Routine|2024-03-27|5423|11
M000125|AC013|E006|Engine Check|2024-04-21|35551|71
M000126|AC013|E006|Engine Check|2024-06-19|36768|34
M000127|AC013|E006|Routine|2024-08-28|8344|11
M000128|AC013|E007|Routine|2024-10-11|6997|8
M000129|AC013|E002|Routine|2024-11-12|8025|12
M000130|AC013|E015|Heavy Maintenance|2024-12-16|101159|190
M000131|AC014|E003|Engine Check|2023-01-09|22731|47
M000132|AC014|E004|Engine Check|2023-03-31|44805|60
M000133|AC014|E004|Routine|2023-05-29|12231|7
M000134|AC014|E003|Routine|2023-07-01|9274|10
M000135|AC014|E013|Routine|2023-08-14|13154|8
M000136|AC014|E002|Routine|2023-09-16|14981|8
M000137|AC014|E010|Routine|2023-10-20|13324|11
M000138|AC014|E002|Routine|2023-11-17|14579|6
M000139|AC014|E001|Routine|2023-12-12|8192|7
M000140|AC014|E007|Routine|2024-01-19|12735|6
M000141|AC014|E012|Routine|2024-02-28|13369|7
M000142|AC014|E003|Heavy Maintenance|2024-04-09|144902|136
M000143|AC014|E011|Routine|2024-09-17|11497|9
M000144|AC014|E001|Engine Check|2024-10-12|23427|43
